review_id,clean_text,keywords,identified_themes,bank_name,rating
1e10c54c-f676-477c-9a7b-bb0aba1aeb9e,"it say ""the request was not successful. please check device connectivity or try again"" why? one of the bank manager told me it is because of my phone's android version which is 9.1 it is ridiculous! disappointing","tell phone, device connectivity, check device connectivity, check device, connectivity, android version, request, disappointing, tell, device","Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
f736ba52-844f-46ef-9164-1803171f7177,how to download or screenshot of payment receipt... what kinda worst app ever,"kinda, receipt, screenshot, download, payment, bad app, bad, app","Transaction Performance, User Interface & Experience, Mobile Banking Features",Bank of Abyssinia,1
6bd7e86b-f9b2-4204-925d-33082e883d64,it doesn't work.,work,General Feedback,Bank of Abyssinia,1
8f298344-5e64-4ebe-bbcc-c24b6909b563,bes and freindly app,app,Mobile Banking Features,Bank of Abyssinia,5
a597b94a-ed3c-4fa9-a749-a23d54faa49c,"better app than most mobile apps, but why do i have to turn off developer option every time i wanna use the app?? it's annoying.","wanna, developer option time, app turn developer, option time, app turn, annoying, turn developer option, app mobile, turn developer, use app","Mobile Banking Features, Transaction Performance",Bank of Abyssinia,1
15bcf00e-6cb4-4e13-9ded-9b6a1cce2bd8,i am aimohon joel it's can be good for a better conversation in time,"time, good",Transaction Performance,Bank of Abyssinia,3
7f00e003-f4e4-49e1-bdd1-16c71454d8ea,it's not working. it needs a big update. can't you update the app quickly?,"update, update update app, need big, update update, quickly, work need, update app, big, need, work","App Reliability & Bugs, Transaction Performance, User Interface & Experience",Bank of Abyssinia,1
c33b61e9-53db-4349-9ffb-a0d8a5a59051,"how many hours should i wait after transferring money to telebirr, please do something about the transfer delay issue i need my money when ever.","transfer, money, issue need, hour, transfer money telebirr, wait, money telebirr, delay, telebirr, transfer money","Transaction Performance, App Reliability & Bugs",Bank of Abyssinia,1
a8423c57-d734-4ebf-9dda-4f4dd43091ec,boa is unreasonably holding and delaying transactions for more than a day even transactions within the same bank itself this is a huge gap that i observed in boa mobile banking i didn't experience this kind of challenge while having transactions in other banks mobile banking platforms after waiting so long i called your customer support team and the response they gave me was it was the system that holds the transaction will be released on working days this is not totally fair,"transaction, transaction bank, day, boa, mobile banking, mobile, bank huge, experience kind, mobile banking platform, banking platform","Customer Support, Transaction Performance, Mobile Banking Features",Bank of Abyssinia,1
889a96ef-4854-4b7c-a3f5-a666fb79307a,good application,"good application, application, good",Mobile Banking Features,Bank of Abyssinia,5
